"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
186,19,12,12,5,3,2,1,573,551,1919,2,160,3,16500,1,162000,50000,10,1,922631,0,1,2,1
187,14,12,12,1,3,1,0,507,512,701,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
188,20,10,12,5,3,2,0,292,425,-4,1,3600,2,20,1,18000,5000,1,1,18000,0,3,6,1
189,21,10,12,1,3,1,0,540,463,704,2,1100,2,20,1,130000,732000,20,2,130300,0,3,1,0
190,17,16,17,5,3,2,0,555,547,2207,3,110,2,2000,1,187000,913000,60,2,188000,0,1,3,1
191,15,16,17,1,3,1,0,585,603,2207,3,2100,2,100,1,332954,2380880,20,4,922631,0,1,1,1
192,15,12,12,5,3,2,0,584,599,699,3,620,2,15,1,72000,5526252,10,4,922631,0,1,1,1
193,21,12,12,1,3,1,-3,548,498,909,4,1320,1,53,0,114991,1241930,60,3,152991,0,1,1,1
194,14,12,12,1,3,1,-3,516,569,4901,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
195,19,10,16,1,3,1,0,608,541,909,4,50,2,10000,1,332954,46900,10,5,922631,0,4,1,1
196,14,20,16,1,3,1,-3,665,620,901,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
197,16,11,12,5,3,2,0,436,408,-4,1,5700,2,5,0,16500,-3,80,1,16500,0,3,3,1
198,15,16,17,1,3,1,0,600,521,508,3,710,4,1,1,-1,-3,20,4,-1,-3,4,1,1
199,20,12,12,1,3,1,0,392,467,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
200,20,16,12,5,3,2,0,423,389,-4,1,4110,2,25,0,46000,644000,100,4,106659,0,1,1,1
201,21,13,20,1,3,1,0,627,666,506,4,4920,2,40,0,5000,2535121,80,2,337000,0,1,1,0
202,18,16,16,1,3,1,0,601,533,-4,1,2750,4,-4,1,0,-9800,65,1,0,1,4,0,1
203,21,10,-2,8,1,2,0,453,372,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
204,21,5,16,8,1,2,-5,396,406,-5,-4,4510,2,10,1,4900,-11798,100,1,6974,1,1,1,1
205,21,-2,12,8,1,2,-3,377,286,-4,1,4600,4,-4,0,-1,0,80,1,-1,-3,1,1,1
206,16,11,12,1,3,1,-5,443,382,-5,-5,6510,2,15,1,56000,805000,30,1,-2,-3,1,6,1
207,16,9,10,1,3,1,0,463,377,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
208,20,-2,-2,6,3,2,1,362,415,-4,-4,-4,-4,-4,0,0,0,100,3,25224,0,1,6,1
209,18,12,-3,1,3,1,0,548,526,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
210,16,12,12,1,3,1,-5,542,505,1701,3,5550,1,200,1,75000,-3,10,4,171000,0,1,1,1
211,15,12,12,5,3,2,0,598,502,501,3,2540,1,50,1,12000,448000,20,7,93000,0,1,1,1
212,18,12,16,1,3,1,0,556,532,-4,1,9130,2,200,1,60000,1640380,10,4,125000,0,1,1,1
213,16,12,16,1,3,1,-3,684,647,506,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
214,14,12,16,1,3,1,-3,631,511,506,1,1320,2,5000,1,135000,1324483,10,2,164200,0,1,1,1
215,18,12,12,1,3,1,0,541,459,909,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
216,18,11,14,5,3,2,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
217,16,12,14,1,3,1,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
218,21,12,12,1,3,1,0,657,591,502,4,10,2,120,1,332954,2354854,50,2,330000,0,1,1,1
219,19,12,11,5,3,2,0,545,501,802,5,-4,-4,-4,0,0,1102955,20,2,92000,0,1,1,1
220,17,12,12,5,3,2,0,663,552,1701,5,130,2,3,1,145000,844600,50,1,145000,0,1,3,1
